Week,Home,Away,Predicted Goals (Home),Predicted Goals (Away),goal_diff,Home Clean Sheet %,Away Clean Sheet %
1.0,Burnley,Manchester City,0.46,2.86,2.4,6.0,63.0
1.0,Arsenal,Nott'ham Forest,2.49,0.47,2.02,63.0,8.0
1.0,Everton,Fulham,2.41,0.81,1.59,44.0,9.0
1.0,Sheffield Utd,Crystal Palace,0.83,1.88,1.05,15.0,44.0
1.0,Brighton,Luton Town,2.81,0.81,2.0,44.0,6.0
1.0,Bournemouth,West Ham,1.49,1.84,0.35,16.0,23.0
1.0,Newcastle Utd,Aston Villa,1.92,1.34,0.58,26.0,15.0
1.0,Brentford,Tottenham,2.12,1.29,0.83,28.000000000000004,12.0
1.0,Chelsea,Liverpool,1.84,1.55,0.28,21.0,16.0
1.0,Manchester Utd,Wolves,1.82,1.31,0.51,27.0,16.0
2.0,Nott'ham Forest,Sheffield Utd,1.97,0.75,1.22,47.0,14.000000000000002
2.0,Fulham,Brentford,0.97,2.28,1.32,10.0,38.0
2.0,Luton Town,Burnley,1.61,1.03,0.58,36.0,20.0
2.0,Liverpool,Bournemouth,3.85,0.72,3.13,49.0,2.0
2.0,Wolves,Brighton,1.27,1.73,0.46,18.0,28.000000000000004
2.0,Tottenham,Manchester Utd,1.99,1.4,0.59,25.0,14.000000000000002
2.0,Manchester City,Newcastle Utd,1.75,1.04,0.7,35.0,17.0
2.0,Aston Villa,Everton,2.07,1.17,0.9,31.0,13.0
2.0,West Ham,Chelsea,1.11,2.53,1.42,8.0,33.0
2.0,Crystal Palace,Arsenal,0.67,1.83,1.16,16.0,51.0
3.0,Chelsea,Luton Town,3.6,0.68,2.91,51.0,3.0
3.0,Bournemouth,Tottenham,1.22,2.2,0.98,11.0,30.0
3.0,Everton,Wolves,1.95,1.07,0.88,34.0,14.000000000000002
3.0,Brentford,Crystal Palace,2.06,0.97,1.09,38.0,13.0
3.0,Manchester Utd,Nott'ham Forest,1.84,1.05,0.79,35.0,16.0
3.0,Arsenal,Fulham,3.03,0.45,2.58,64.0,5.0
3.0,Brighton,West Ham,2.42,1.08,1.34,34.0,9.0
3.0,Sheffield Utd,Manchester City,0.44,3.41,2.96,3.0,64.0
3.0,Burnley,Aston Villa,0.69,2.68,1.99,7.000000000000001,50.0
3.0,Newcastle Utd,Liverpool,1.78,1.5,0.28,22.0,17.0
4.0,Luton Town,West Ham,1.45,1.84,0.39,16.0,23.0
4.0,Sheffield Utd,Everton,0.73,2.42,1.68,9.0,48.0
4.0,Chelsea,Nott'ham Forest,2.73,0.7,2.03,50.0,7.000000000000001
4.0,Manchester City,Fulham,3.39,0.49,2.9,61.0,3.0
4.0,Brentford,Bournemouth,3.03,0.84,2.19,43.0,5.0
4.0,Burnley,Tottenham,0.88,2.1,1.21,12.0,41.0
4.0,Brighton,Newcastle Utd,1.34,1.68,0.33,19.0,26.0
4.0,Liverpool,Aston Villa,2.12,1.43,0.68,24.0,12.0
4.0,Crystal Palace,Wolves,1.52,1.21,0.31,30.0,22.0
4.0,Arsenal,Manchester Utd,2.42,0.66,1.76,52.0,9.0
5.0,Wolves,Liverpool,1.1,2.36,1.26,9.0,33.0
5.0,Fulham,Luton Town,1.64,1.28,0.37,28.000000000000004,19.0
5.0,West Ham,Manchester City,0.82,2.58,1.76,8.0,44.0
5.0,Aston Villa,Crystal Palace,2.34,0.91,1.43,40.0,10.0
5.0,Manchester Utd,Brighton,1.42,1.7,0.28,18.0,24.0
5.0,Tottenham,Sheffield Utd,3.05,0.7,2.35,50.0,5.0
5.0,Everton,Arsenal,0.87,1.62,0.75,20.0,42.0
5.0,Bournemouth,Chelsea,0.86,2.95,2.09,5.0,42.0
5.0,Newcastle Utd,Brentford,2.05,1.18,0.87,31.0,13.0
5.0,Nott'ham Forest,Burnley,1.65,0.78,0.87,46.0,19.0
6.0,Manchester City,Nott'ham Forest,2.79,0.52,2.27,59.0,6.0
6.0,Luton Town,Wolves,1.27,1.77,0.5,17.0,28.000000000000004
6.0,Chelsea,Aston Villa,1.98,1.39,0.59,25.0,14.000000000000002
6.0,Crystal Palace,Fulham,1.87,0.92,0.95,40.0,15.0
6.0,Brentford,Everton,1.82,1.25,0.57,28.999999999999996,16.0
6.0,Burnley,Manchester Utd,0.93,1.89,0.96,15.0,39.0
6.0,Arsenal,Tottenham,2.3,0.73,1.57,48.0,10.0
6.0,Brighton,Bournemouth,2.82,0.83,1.99,44.0,6.0
6.0,Liverpool,West Ham,3.31,0.94,2.37,39.0,4.0
6.0,Sheffield Utd,Newcastle Utd,0.58,3.24,2.66,4.0,56.00000000000001
7.0,Aston Villa,Brighton,2.02,1.27,0.75,28.000000000000004,13.0
7.0,Wolves,Manchester City,0.79,2.25,1.46,11.0,45.0
7.0,Bournemouth,Arsenal,0.58,2.69,2.11,7.000000000000001,56.00000000000001
7.0,Everton,Luton Town,2.6,0.83,1.77,44.0,7.000000000000001
7.0,Newcastle Utd,Burnley,3.32,0.49,2.84,61.0,4.0
7.0,West Ham,Sheffield Utd,2.55,0.85,1.7,43.0,8.0
7.0,Manchester Utd,Crystal Palace,1.66,1.22,0.43,30.0,19.0
7.0,Tottenham,Liverpool,1.37,2.21,0.84,11.0,25.0
7.0,Nott'ham Forest,Brentford,1.02,1.88,0.86,15.0,36.0
7.0,Fulham,Chelsea,0.81,2.72,1.91,7.000000000000001,44.0
8.0,West Ham,Newcastle Utd,1.07,2.45,1.38,9.0,34.0
8.0,Crystal Palace,Nott'ham Forest,1.53,0.97,0.57,38.0,22.0
8.0,Wolves,Aston Villa,1.19,2.11,0.92,12.0,30.0
8.0,Brighton,Liverpool,1.44,1.85,0.41,16.0,24.0
8.0,Everton,Bournemouth,2.61,0.86,1.75,42.0,7.000000000000001
8.0,Manchester Utd,Brentford,1.43,1.83,0.4,16.0,24.0
8.0,Arsenal,Manchester City,1.2,1.0,0.2,37.0,30.0
8.0,Burnley,Chelsea,0.62,2.81,2.19,6.0,54.0
8.0,Luton Town,Tottenham,1.19,2.2,1.01,11.0,30.0
8.0,Fulham,Sheffield Utd,1.87,0.92,0.95,40.0,15.0
9.0,Bournemouth,Wolves,1.3,1.77,0.47,17.0,27.0
9.0,Newcastle Utd,Crystal Palace,2.38,0.79,1.59,45.0,9.0
9.0,Brentford,Burnley,2.88,0.6,2.28,55.00000000000001,6.0
9.0,Aston Villa,West Ham,2.95,1.01,1.94,36.0,5.0
9.0,Tottenham,Fulham,2.48,0.95,1.54,39.0,8.0
9.0,Chelsea,Arsenal,1.2,1.32,0.13,27.0,30.0
9.0,Manchester City,Brighton,2.16,0.84,1.31,43.0,12.0
9.0,Nott'ham Forest,Luton Town,1.73,1.05,0.68,35.0,18.0
9.0,Sheffield Utd,Manchester Utd,0.9,2.25,1.36,11.0,41.0
9.0,Liverpool,Everton,2.32,1.09,1.24,34.0,10.0
10.0,Crystal Palace,Tottenham,1.42,1.5,0.08,22.0,24.0
10.0,Liverpool,Nott'ham Forest,2.92,0.72,2.2,49.0,5.0
10.0,West Ham,Everton,1.36,1.83,0.47,16.0,26.0
10.0,Chelsea,Brentford,2.12,1.22,0.9,30.0,12.0
10.0,Brighton,Fulham,2.6,0.79,1.81,45.0,7.000000000000001
10.0,Wolves,Newcastle Utd,1.03,2.14,1.11,12.0,36.0
10.0,Bournemouth,Burnley,1.65,1.03,0.63,36.0,19.0
10.0,Arsenal,Sheffield Utd,3.72,0.33,3.39,72.0,2.0
10.0,Aston Villa,Luton Town,3.43,0.76,2.67,47.0,3.0
10.0,Manchester Utd,Manchester City,0.89,2.22,1.33,11.0,41.0
11.0,Fulham,Manchester Utd,1.22,1.83,0.62,16.0,30.0
11.0,Brentford,West Ham,2.6,1.08,1.52,34.0,7.000000000000001
11.0,Tottenham,Chelsea,1.33,2.07,0.74,13.0,26.0
11.0,Newcastle Utd,Arsenal,1.16,1.28,0.12,28.000000000000004,31.0
11.0,Everton,Brighton,1.53,1.39,0.14,25.0,22.0
