,Rk,Squad,Pts,team,xPts,Rank
0,1,Liverpool,45,Liverpool,37.9388,2
1,2,Aston Villa,42,Aston Villa,33.87765,5
2,3,Manchester City,40,Manchester City,37.2239,3
3,4,Arsenal,40,Arsenal,38.8661,1
4,5,Tottenham,39,Tottenham,28.8746,9
5,6,West Ham,34,West Ham,23.58375,15
6,7,Brighton,31,Brighton,30.5011,7
7,8,Manchester Utd,31,Manchester Utd,25.562649999999998,10
8,9,Newcastle Utd,29,Newcastle Utd,33.17515,6
9,10,Chelsea,28,Chelsea,34.09785,4
10,11,Wolves,28,Wolves,24.24145,13
11,12,Bournemouth,25,Bournemouth,24.7603,12
12,13,Fulham,24,Fulham,23.38425,16
13,14,Crystal Palace,21,Crystal Palace,25.033,11
14,15,Nott'ham Forest,20,Nott'ham Forest,23.66045,14
15,16,Brentford,19,Brentford,29.34045,8
16,17,Everton,16,Everton,18.7509,17
17,18,Luton Town,15,Luton Town,15.946250000000001,19
18,19,Burnley,11,Burnley,17.6671,18
19,20,Sheffield Utd,9,Sheffield Utd,15.00415,20
