,index,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,PrgR,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG per 90,xAG per 90,xG+xAG,npxG per 90,npxG+xAG per 90,season_years
0,99,100,Aaron Cresswell,ENG,DF,West Ham,33.0,1989.0,2.0,1.0,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,2023-2024
1,197,198,Aaron Hickey,SCO,DF,Brentford,21.0,2002.0,9.0,9.0,713.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.1,0.3,9.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,2023-2024
2,370,371,Aaron Ramsdale,ENG,GK,Arsenal,25.0,1998.0,5.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
3,371,372,Aaron Ramsey,ENG,MF,Burnley,20.0,2003.0,7.0,2.0,237.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,8.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.19,0.04,0.19,2023-2024
4,469,470,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,26.0,1997.0,8.0,6.0,525.0,5.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.1,1.2,12.0,24.0,13.0,0.0,0.17,0.17,0.0,0.17,0.01,0.19,0.2,0.01,0.2,2023-2024
5,131,132,Abdoulaye Doucoure,MLI,MF,Everton,30.0,1993.0,14.0,14.0,1215.0,13.5,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,4.4,4.4,2.0,6.4,30.0,41.0,78.0,0.3,0.0,0.3,0.3,0.3,0.32,0.15,0.47,0.32,0.47,2023-2024
6,246,247,Adam Lallana,ENG,MF,Brighton,35.0,1988.0,9.0,6.0,363.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.5,0.6,1.0,14.0,27.0,0.0,0.25,0.25,0.0,0.25,0.01,0.13,0.14,0.01,0.14,2023-2024
7,419,420,Adam Smith,ENG,DF,Bournemouth,32.0,1991.0,7.0,4.0,392.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,6.0,20.0,4.0,0.0,0.23,0.23,0.0,0.23,0.0,0.11,0.11,0.0,0.11,2023-2024
8,474,475,Adam Webster,ENG,DF,Brighton,28.0,1995.0,6.0,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,7.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,2023-2024
9,446,447,Adama Traore,ESP,MF,Fulham,27.0,1996.0,4.0,0.0,44.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42,2023-2024
10,399,400,Albert Sambi Lokonga,BEL,MF,Luton Town,24.0,1999.0,2.0,2.0,129.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,2023-2024
11,167,168,Alejandro Garnacho,ARG,MF,Manchester Utd,19.0,2004.0,13.0,7.0,654.0,7.3,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,1.9,1.4,3.3,56.0,20.0,77.0,0.14,0.14,0.28,0.14,0.28,0.27,0.19,0.46,0.26,0.45,2023-2024
12,459,460,Alejo Veliz,ARG,FW,Tottenham,20.0,2003.0,4.0,0.0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
13,302,303,Aleksandar Mitrovic,SRB,FW,Fulham,29.0,1994.0,1.0,0.0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.44,0.44,0.44,2023-2024
14,208,209,Alex Iwobi,NGA,MF,Fulham,27.0,1996.0,11.0,7.0,702.0,7.8,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,2.3,2.3,0.6,2.9,25.0,44.0,49.0,0.38,0.0,0.38,0.38,0.38,0.3,0.07,0.37,0.3,0.37,2023-2024
15,280,281,Alex Matos,ENG,MF,Chelsea,19.0,2004.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
16,314,315,Alex Murphy,IRL,DF,Newcastle Utd,19.0,2004.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
17,409,410,Alex Scott,ENG,MF,Bournemouth,20.0,2003.0,3.0,3.0,189.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,5.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,2023-2024
18,206,207,Alexander Isak,SWE,FW,Newcastle Utd,24.0,1999.0,10.0,8.0,662.0,7.4,7.0,0.0,7.0,6.0,1.0,1.0,0.0,0.0,6.4,5.6,0.5,6.1,18.0,16.0,35.0,0.95,0.0,0.95,0.82,0.82,0.87,0.07,0.94,0.76,0.83,2023-2024
19,265,266,Alexis Mac Allister,ARG,MF,Liverpool,24.0,1998.0,14.0,14.0,1086.0,12.1,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.2,0.2,0.4,0.6,15.0,79.0,8.0,0.08,0.08,0.17,0.08,0.17,0.02,0.03,0.05,0.02,0.05,2023-2024
20,133,134,Alfie Doughty,ENG,DF,Luton Town,23.0,1999.0,14.0,11.0,970.0,10.8,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,2.1,2.3,29.0,39.0,50.0,0.0,0.28,0.28,0.0,0.28,0.02,0.2,0.22,0.02,0.22,2023-2024
21,14,15,Alisson,BRA,GK,Liverpool,31.0,1992.0,13.0,13.0,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
22,27,28,Alphonse Areola,FRA,GK,West Ham,30.0,1993.0,14.0,14.0,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
23,117,118,Amadou Diallo,ENG,MF,Newcastle Utd,20.0,2003.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-2024
