gameweek,date,round,venue,result,gf,ga,opponent,xg,xga,possession,xg_roll,xga_roll,team,year
1,13/09/2020,Matchweek 1,Home,L,0,1,Everton,1.1,1.2,52,,,Tottenham,2020-2021
2,20/09/2020,Matchweek 2,Away,W,5,2,Southampton,2.1,2,49,,,Tottenham,2020-2021
3,27/09/2020,Matchweek 3,Home,D,1,1,Newcastle Utd,2.9,1,66,,,Tottenham,2020-2021
4,04/10/2020,Matchweek 4,Away,W,6,1,Manchester Utd,3.4,0.9,61,,,Tottenham,2020-2021
5,18/10/2020,Matchweek 5,Home,D,3,3,West Ham,1.7,1.9,50,,,Tottenham,2020-2021
6,26/10/2020,Matchweek 6,Away,W,1,0,Burnley,0.6,1,61,,,Tottenham,2020-2021
7,01/11/2020,Matchweek 7,Home,W,2,1,Brighton,1.7,0.3,44,,,Tottenham,2020-2021
8,08/11/2020,Matchweek 8,Away,W,1,0,West Brom,1.9,0.8,58,,,Tottenham,2020-2021
9,21/11/2020,Matchweek 9,Home,W,2,0,Manchester City,0.7,1.4,34,,,Tottenham,2020-2021
10,29/11/2020,Matchweek 10,Away,D,0,0,Chelsea,0.2,0.8,40,1.63,1.13,Tottenham,2020-2021
11,06/12/2020,Matchweek 11,Home,W,2,0,Arsenal,0.3,0.6,31,1.55,1.07,Tottenham,2020-2021
12,13/12/2020,Matchweek 12,Away,D,1,1,Crystal Palace,0.9,1.6,56,1.43,1.03,Tottenham,2020-2021
13,16/12/2020,Matchweek 13,Away,L,1,2,Liverpool,1.1,1,25,1.25,1.03,Tottenham,2020-2021
14,20/12/2020,Matchweek 14,Home,L,0,2,Leicester City,0.7,1.7,56,0.98,1.11,Tottenham,2020-2021
15,27/12/2020,Matchweek 15,Away,D,1,1,Wolves,0.4,0.9,45,0.85,1.01,Tottenham,2020-2021
16,02/01/2021,Matchweek 17,Home,W,3,0,Leeds United,2.6,1.1,37,1.05,1.02,Tottenham,2020-2021
17,13/01/2021,Matchweek 16,Home,D,1,1,Fulham,2.4,1.1,53,1.12,1.1,Tottenham,2020-2021
18,17/01/2021,Matchweek 19,Away,W,3,1,Sheffield Utd,1,0.9,57,1.03,1.11,Tottenham,2020-2021
19,28/01/2021,Matchweek 20,Home,L,1,3,Liverpool,0.1,2.5,50,0.97,1.22,Tottenham,2020-2021
20,31/01/2021,Matchweek 21,Away,L,0,1,Brighton,0.4,1.6,57,0.99,1.3,Tottenham,2020-2021
21,04/02/2021,Matchweek 22,Home,L,0,1,Chelsea,0.6,1.6,43,1.02,1.4,Tottenham,2020-2021
22,07/02/2021,Matchweek 23,Home,W,2,0,West Brom,1.5,0.6,65,1.08,1.3,Tottenham,2020-2021
23,13/02/2021,Matchweek 24,Away,L,0,3,Manchester City,0.3,2.2,40,1,1.42,Tottenham,2020-2021
24,21/02/2021,Matchweek 25,Away,L,1,2,West Ham,1.1,1.1,68,1.04,1.36,Tottenham,2020-2021
25,28/02/2021,Matchweek 26,Home,W,4,0,Burnley,2.1,0.7,58,1.21,1.34,Tottenham,2020-2021
26,04/03/2021,Matchweek 33,Away,W,1,0,Fulham,1.6,0.7,40,1.11,1.3,Tottenham,2020-2021
27,07/03/2021,Matchweek 27,Home,W,4,1,Crystal Palace,2.7,0.5,63,1.14,1.24,Tottenham,2020-2021
28,14/03/2021,Matchweek 28,Away,L,1,2,Arsenal,0.4,1.7,48,1.08,1.32,Tottenham,2020-2021
29,21/03/2021,Matchweek 18,Away,W,2,0,Aston Villa,1.8,0.4,50,1.25,1.11,Tottenham,2020-2021
30,04/04/2021,Matchweek 30,Away,D,2,2,Newcastle Utd,2.7,3.4,58,1.48,1.29,Tottenham,2020-2021
31,11/04/2021,Matchweek 31,Home,L,1,3,Manchester Utd,0.9,2.1,47,1.51,1.34,Tottenham,2020-2021
32,16/04/2021,Matchweek 32,Away,D,2,2,Everton,1.4,1.8,47,1.5,1.46,Tottenham,2020-2021
33,21/04/2021,Matchweek 29,Home,W,2,1,Southampton,1.4,0.8,62,1.61,1.32,Tottenham,2020-2021
34,02/05/2021,Matchweek 34,Home,W,4,0,Sheffield Utd,2.2,0.5,66,1.72,1.26,Tottenham,2020-2021
35,08/05/2021,Matchweek 35,Away,L,1,3,Leeds United,0.9,2.5,47,1.6,1.44,Tottenham,2020-2021
36,16/05/2021,Matchweek 36,Home,W,2,0,Wolves,3.2,0.9,62,1.76,1.46,Tottenham,2020-2021
37,19/05/2021,Matchweek 37,Home,L,1,2,Aston Villa,0.8,1.4,60,1.57,1.55,Tottenham,2020-2021
38,23/05/2021,Matchweek 38,Away,W,4,2,Leicester City,1.5,1.9,53,1.68,1.57,Tottenham,2020-2021
39,15/08/2021,Matchweek 1,Home,W,1,0,Manchester City,1,1.8,35,1.6,1.71,Tottenham,2021-2022
40,22/08/2021,Matchweek 2,Away,W,1,0,Wolves,1.7,1.7,42,1.5,1.54,Tottenham,2021-2022
41,29/08/2021,Matchweek 3,Home,W,1,0,Watford,1,0.8,57,1.51,1.41,Tottenham,2021-2022
