,element,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,selected,transfers_in,transfers_out,full_name,id_x
587,415,13,67,2,0,0,1,0,0,0,0,0,0,3,51,1,0.76,0.02,0.78,1.50,1346330,0,0,Alexander Isak,415
588,415,2,65,0,0,0,1,0,0,0,0,0,0,0,7,1,0.00,0.02,0.02,0.81,2258271,508318,74778,Alexander Isak,415
589,415,2,71,0,0,1,0,0,0,0,0,0,0,0,5,1,0.16,0.02,0.18,0.40,2671221,408228,131908,Alexander Isak,415
590,415,2,73,0,0,0,3,0,0,0,0,0,0,0,7,1,0.48,0.03,0.51,1.32,2773868,215435,179217,Alexander Isak,415
591,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,2659589,165476,330447,Alexander Isak,415
592,415,5,20,1,0,0,0,0,0,0,0,0,0,0,27,0,0.61,0.02,0.63,0.21,2327167,65094,412153,Alexander Isak,415
593,415,6,90,1,0,1,0,0,0,0,0,0,0,0,22,1,1.83,0.03,1.86,0.65,2018967,56101,360185,Alexander Isak,415
594,415,13,85,2,0,0,1,0,0,0,0,0,0,3,51,1,1.60,0.01,1.61,1.14,2069499,141318,138867,Alexander Isak,415
595,415,1,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.82,2040351,172085,205612,Alexander Isak,415
596,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1788969,57874,313084,Alexander Isak,415
597,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1385346,2273,406260,Alexander Isak,415
598,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1216995,1109,174035,Alexander Isak,415
