,second_name,first_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,transfers_out,value_season,bonus,bps,total_points,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,points_per_game,value_form,value_season,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,id_x,id_y,plural_name,singular_name,pos_short,id,name,full_name
0,Balogun,Folarin,1,4,0.2,44,0,10024,61675,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,4,Forwards,Forward,FW,1,Arsenal,Folarin Balogun
1,Alves Soares,Cedric,1,2,0.4,39,0,34063,38519,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,2,Defenders,Defender,DF,1,Arsenal,Cedric Alves Soares
2,Elneny,Mohamed,1,3,0.1,44,1,12742,18005,0.9,0,12,4,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0,1,0,0,0,0,0,0,0,0,3,3,Midfielders,Midfielder,MF,1,Arsenal,Mohamed Elneny
3,Ferreira Vieira,Fabio,1,3,0.1,54,236,11451,18296,3.9,0,62,21,1.20,0.35,1.55,1.48,0.46,0.13,0.59,0.56,2.6,0.0,3.9,1,3,1,2,0,0,0,0,1,0,4,3,Midfielders,Midfielder,MF,1,Arsenal,Fabio Vieira
4,dos Santos Magalhaes,Gabriel,1,2,17.2,50,1374,1330272,2500857,11.4,4,277,57,1.12,0.32,1.44,13.45,0.07,0.02,0.09,0.88,3.4,0.7,11.4,1,0,5,15,0,0,0,1,0,0,5,2,Defenders,Defender,DF,1,Arsenal,Gabriel Dos Santos
5,Havertz,Kai,1,3,1.6,71,1092,83127,386913,7.0,0,146,50,4.21,1.09,5.30,8.98,0.35,0.09,0.44,0.74,2.8,0.5,7.0,4,1,4,12,0,0,0,5,0,0,6,3,Midfielders,Midfielder,MF,1,Arsenal,Kai Havertz
6,Fernando de Jesus,Gabriel,1,4,5.6,80,911,915593,669562,5.9,8,152,47,4.71,1.43,6.14,8.84,0.47,0.14,0.61,0.87,3.4,0.6,5.9,3,2,5,11,0,0,0,4,0,0,8,4,Forwards,Forward,FW,1,Arsenal,Gabriel Jesus
7,Frello Filho,Jorge Luiz,1,3,0.2,53,383,8880,18272,2.8,0,66,15,0.09,0.30,0.39,4.68,0.02,0.07,0.09,1.1,1.4,0.0,2.8,0,0,1,6,0,0,0,1,0,0,9,3,Midfielders,Midfielder,MF,1,Arsenal,Jorginho
8,Kiwior,Jakub,1,2,0.1,43,247,4667,9007,2.8,0,58,12,0.37,0.07,0.44,1.37,0.13,0.03,0.16,0.5,1.7,0.1,2.8,0,0,1,5,0,0,0,0,0,0,10,2,Defenders,Defender,DF,1,Arsenal,Jakub Kiwior
9,Oliveira Alencar,Marcus,1,3,0.0,45,0,819,11696,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,11,3,Midfielders,Midfielder,MF,1,Arsenal,Marcus Oliveira Alencar
10,Martinelli Silva,Gabriel,1,3,5.7,77,1219,918603,1760802,6.8,0,192,52,2.18,2.83,5.01,9.59,0.16,0.21,0.37,0.71,3.1,0.4,6.8,2,2,5,15,0,0,0,1,0,0,12,3,Midfielders,Midfielder,MF,1,Arsenal,Gabriel Martinelli
11,Nketiah,Eddie,1,4,4.9,53,868,1536827,1481469,10.9,5,176,58,3.95,0.31,4.26,7.84,0.41,0.03,0.44,0.81,3.2,0.2,10.9,5,3,6,6,0,0,0,3,0,0,13,4,Forwards,Forward,FW,1,Arsenal,Eddie Nketiah
12,Odegaard,Martin,1,3,15.3,84,1419,1486857,2373461,9.6,12,301,81,3.88,3.96,7.84,13.56,0.25,0.25,0.5,0.86,5.1,0.6,9.6,4,4,6,15,0,0,0,1,0,0,14,3,Midfielders,Midfielder,MF,1,Arsenal,Martin Odegaard
13,Partey,Thomas,1,3,0.1,48,250,8554,36953,1.5,0,58,7,0.07,0.21,0.28,2.53,0.03,0.08,0.11,0.91,1.8,0.0,1.5,0,0,1,2,0,0,0,0,0,0,15,3,Midfielders,Midfielder,MF,1,Arsenal,Thomas Partey
14,Pepe,Nicolas,1,3,0.0,49,0,667,6331,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16,3,Midfielders,Midfielder,MF,1,Arsenal,Nicolas Pepe
15,Ramsdale,Aaron,1,1,6.3,46,450,260885,1419163,3.7,0,77,17,0.00,0.01,0.01,4.84,0.0,0.0,0.0,0.97,3.4,0.0,3.7,0,0,2,4,0,0,0,0,0,6,17,1,Goalkeepers,Goalkeeper,GK,1,Arsenal,Aaron Ramsdale
16,Runarsson,Runar Alex,1,1,0.1,40,0,990,10767,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,18,1,Goalkeepers,Goalkeeper,GK,1,Arsenal,Runar Alex Runarsson
17,Saka,Bukayo,1,3,57.9,90,1573,3729846,3760318,11.1,11,370,100,5.81,6.32,12.13,14.55,0.33,0.36,0.69,0.83,5.6,0.4,11.1,5,8,6,18,0,0,0,2,0,0,19,3,Midfielders,Midfielder,MF,1,Arsenal,Bukayo Saka
18,Saliba,William,1,2,36.5,56,1710,3209537,1602048,13.4,6,365,75,1.17,0.57,1.74,15.50,0.06,0.03,0.09,0.82,3.9,0.4,13.4,1,1,7,18,0,0,0,1,0,0,20,2,Defenders,Defender,DF,1,Arsenal,William Saliba
19,Smith Rowe,Emile,1,3,0.1,53,116,4955,16135,2.1,0,30,11,0.97,0.06,1.03,0.98,0.75,0.05,0.8,0.76,1.8,0.1,2.1,0,1,1,0,0,0,0,0,0,0,22,3,Midfielders,Midfielder,MF,1,Arsenal,Emile Smith Rowe
20,Tierney,Kieran,1,2,0.1,44,0,2665,28415,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,24,2,Defenders,Defender,DF,1,Arsenal,Kieran Tierney
21,Tomiyasu,Takehiro,1,2,0.3,45,583,79085,83335,8.4,3,134,38,0.48,0.38,0.86,6.46,0.07,0.06,0.13,1.0,3.2,0.4,8.4,1,1,3,4,0,0,0,0,1,0,25,2,Defenders,Defender,DF,1,Arsenal,Takehiro Tomiyasu
22,Trossard,Leandro,1,3,1.8,65,634,293812,665952,7.1,6,127,46,3.06,1.53,4.59,5.94,0.43,0.22,0.65,0.84,3.1,0.2,7.1,3,1,2,6,0,0,0,0,0,0,26,3,Midfielders,Midfielder,MF,1,Arsenal,Leandro Trossard
23,White,Benjamin,1,2,11.0,56,1409,1314438,1203822,12.1,7,330,68,0.71,1.90,2.61,13.50,0.05,0.12,0.17,0.86,3.8,0.4,12.1,1,2,6,17,0,0,0,4,0,0,29,2,Defenders,Defender,DF,1,Arsenal,Ben White
24,Xhaka,Granit,1,3,0.0,60,0,0,1207,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,30,3,Midfielders,Midfielder,MF,1,Arsenal,Granit Xhaka
25,Zinchenko,Oleksandr,1,2,13.8,52,1202,1404738,711716,13.7,11,320,71,0.43,2.15,2.58,10.00,0.03,0.16,0.19,0.75,3.9,0.6,13.7,1,1,6,11,0,0,0,2,0,0,31,2,Defenders,Defender,DF,1,Arsenal,Oleksandr Zinchenko
26,Raya Martin,David,1,1,5.8,49,1260,664051,604011,11.0,2,241,54,0.00,0.02,0.02,10.66,0.0,0.0,0.0,0.76,3.9,0.7,11.0,0,0,5,14,0,1,0,0,0,21,113,1,Goalkeepers,Goalkeeper,GK,1,Arsenal,David Raya
27,Rice,Declan,1,3,5.4,54,1653,470363,595372,12.4,7,336,67,1.52,1.09,2.61,14.79,0.08,0.06,0.14,0.81,3.5,0.6,12.4,3,1,7,17,0,0,0,2,0,0,540,3,Midfielders,Midfielder,MF,1,Arsenal,Declan Rice
28,Nelson,Reiss,1,3,0.0,48,89,6221,7393,1.5,0,23,7,0.04,0.31,0.35,1.54,0.04,0.31,0.35,1.56,0.9,0.1,1.5,0,0,0,0,0,0,0,1,0,0,578,3,Midfielders,Midfielder,MF,1,Arsenal,Reiss Nelson
29,Timber,Jurrien,1,2,0.4,46,49,12070,478394,0.0,0,3,0,0.00,0.01,0.01,0.28,0.0,0.02,0.02,0.51,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,585,2,Defenders,Defender,DF,1,Arsenal,Jurrien Timber
30,Hein,Karl,1,1,0.1,40,0,4378,3615,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,646,1,Goalkeepers,Goalkeeper,GK,1,Arsenal,Karl Hein
31,Sagoe,Charles,1,3,0.0,45,0,526,323,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,735,3,Midfielders,Midfielder,MF,1,Arsenal,Charles Sagoe
32,Walters,Reuell,1,2,0.0,40,0,2080,1096,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,736,2,Defenders,Defender,DF,1,Arsenal,Reuell Walters
33,Ibrahim,Bradley,1,3,0.0,45,0,451,299,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,737,3,Midfielders,Midfielder,MF,1,Arsenal,Bradley Ibrahim
34,Lewis-Skelly,Myles,1,3,0.0,45,0,17,7,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,764,3,Midfielders,Midfielder,MF,1,Arsenal,Myles Lewis-Skelly
35,Nwaneri,Ethan,1,3,0.0,45,0,3,1,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,772,3,Midfielders,Midfielder,MF,1,Arsenal,Ethan Nwaneri
36,Moreno Lopera,Alexandre,2,2,0.8,50,175,106871,33127,2.8,2,39,14,0.85,0.39,1.24,1.98,0.44,0.2,0.64,1.02,2.3,0.5,2.8,1,0,0,5,0,0,0,0,0,0,32,2,Defenders,Defender,DF,2,Aston Villa,Alexandre Moreno Lopera
37,Bailey,Leon,2,3,3.4,56,769,572927,323370,11.8,4,195,66,2.78,3.00,5.78,12.23,0.33,0.35,0.68,1.43,3.9,0.8,11.8,5,5,3,11,0,0,0,3,0,0,34,3,Midfielders,Midfielder,MF,2,Aston Villa,Leon Bailey
38,Buendia Stati,Emiliano,2,3,0.0,57,0,684,16994,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,35,3,Midfielders,Midfielder,MF,2,Aston Villa,Emi Buendia
39,Cash,Matty,2,2,18.5,47,1262,3643641,2618971,10.6,4,231,50,3.72,1.62,5.34,17.08,0.27,0.12,0.39,1.22,2.9,0.2,10.6,2,1,3,18,1,0,0,5,0,0,36,2,Defenders,Defender,DF,2,Aston Villa,Matty Cash
40,Chambers,Calum,2,2,1.0,39,0,49001,89366,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,37,2,Defenders,Defender,DF,2,Aston Villa,Calum Chambers
41,Coutinho Correia,Philippe,2,3,0.2,58,24,4781,47474,0.3,0,7,2,0.15,0.02,0.17,0.68,0.56,0.08,0.64,2.55,1.0,0.0,0.3,0,0,0,1,0,0,0,0,0,0,38,3,Midfielders,Midfielder,MF,2,Aston Villa,Philippe Coutinho
42,Davis,Keinan,2,4,0.1,49,0,4950,22851,0.0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,39,4,Forwards,Forward,FW,2,Aston Villa,Keinan Davis
